country,state,city,latitude,longitude,standard,tz
Malaysia,,Kuala Lumpur,3.1686,101.698,120,Asia/Manila
Malaysia,,Putrajaya,2.914,101.7019,120,Asia/Manila
Mali,,Bamako,12.6458,-7.9922,0,Africa/Abidjan
Malta,,Valletta,35.8983,14.5125,15,Europe/Paris
Martinique,,Fort-de-France,14.6,-61.0667,-60,America/Caracas
Mauritania,,Nouakchott,18.0858,-15.9785,0,Africa/Abidjan
Mauritius,,Port Louis,-20.1644,57.5042,60,Asia/Dubai
Mexico,,Mexico City,19.4333,-99.1333,-90,America/Mexico_City
Mexico,Baja California,Tijuana,32.525,-117.0333,-120,America/Los_Angeles
Mexico,Jalisco,Guadalajara,20.6767,-103.3475,-90,America/Mexico_City
Mexico,Nuevo Leon,Monterrey,25.6844,-100.3181,-90,America/Mexico_City
Mexico,Yucatan,Merida,20.9667,-89.6167,-90,America/Mexico_City
Moldova,,Chisinau,47.0228,28.8353,30,Europe/Chisinau
Mongolia,,Ulaanbaatar,47.9214,106.9055,120,Asia/Manila
Montenegro,,Podgorica,42.4414,19.2628,15,Europe/Paris
Morocco,,Rabat,34.0209,-6.8416,15,Africa/Casablanca
Morocco,,Tifariti,26.158,-10.567,15,Africa/Casablanca
Mozambique,,Maputo,-25.9153,32.5764,30,Africa/Johannesburg
Namibia,,Windhoek,-22.57,17.0836,30,Africa/Johannesburg
Nepal,,Kathmandu,27.71,85.32,86.25,Asia/Kathmandu
Netherlands,,Amsterdam,52.3728,4.8936,15,Europe/Paris
Netherlands,,The Hague,52.08,4.31,15,Europe/Paris
New Caledonia,,Noumea,-22.2625,166.4443,165,Asia/Sakhalin
New Zealand,,Wellington,-41.2889,174.7772,195,Pacific/Auckland
Nicaragua,,Managua,12.1364,-86.2514,-90,America/Mexico_City
Niger,,Niamey,13.515,2.1175,15,Africa/Lagos
Nigeria,,Abuja,9.0667,7.4833,15,Africa/Lagos
North Korea,,Pyongyang,39.0167,125.7475,135,Asia/Tokyo
North Macedonia,,Skopje,41.9961,21.4317,15,Europe/Paris
Norway,,Oslo,59.9133,10.7389,15,Europe/Paris
Oman,,Muscat,23.6139,58.5922,60,Asia/Dubai
Pakistan,,Islamabad,33.6931,73.0639,75,Asia/Karachi
Panama,,Panama City,8.9711,-79.5347,-75,America/Lima
Papua New Guinea,,Port Moresby,-9.4789,147.1494,150,Australia/Brisbane
Paraguay,,Asuncion,-25.2945,-57.6435,-45,America/Sao_Paulo
Peru,,Lima,-12.06,-77.0375,-75,America/Lima
Philippines,,Manila,14.5958,120.9772,120,Asia/Manila
Poland,,Warsaw,52.23,21.0111,15,Europe/Paris
Portugal,,Lisbon,38.7122,-9.134,0,Europe/Lisbon
Puerto Rico,,San Juan,18.3985,-66.061,-60,America/Caracas
Qatar,,Doha,25.2867,51.5333,45,Europe/Moscow
Reunion,,Saint-Denis,-20.8789,55.4481,60,Asia/Dubai
Romania,,Bucharest,44.4325,26.1039,30,Europe/Athens
Russia,,Moscow,55.7506,37.6175,45,Europe/Moscow
Russia,Irkutskaya,Irkutsk,52.2892,104.28,120,Asia/Manila
Russia,Kaliningradskaya,Kaliningrad,54.7003,20.4531,30,Africa/Johannesburg
Russia,Kamchatskiy,Petropavlovsk-Kamchatskiy,53.0167,158.65,180,Pacific/Fiji
Russia,Krasnoyarskiy,Krasnoyarsk,56.0089,92.8719,105,Asia/Jakarta
Russia,Magadanskaya,Magadan,59.5667,150.8,165,Asia/Sakhalin
Russia,Omskaya,Omsk,54.9833,73.3667,90,Asia/Dhaka
Russia,Primorskiy,Vladivostok,43.115,131.8853,150,Australia/Brisbane
Russia,Sakha,Yakutsk,62.03,129.73,135,Asia/Tokyo
Russia,Samarskaya,Samara,53.2028,50.1408,60,Asia/Dubai
Russia,Sverdlovskaya,Yekaterinburg,56.8356,60.6128,75,Asia/Karachi
Rwanda,,Kigali,-1.9536,30.0606,30,Africa/Johannesburg
Saudi Arabia,,Riyadh,24.65,46.71,45,Europe/Moscow
Senegal,,Dakar,14.6726,-17.432,0,Africa/Abidjan
Serbia,,Belgrade,44.8178,20.4569,15,Europe/Paris
Sierra Leone,,Freetown,8.4833,-13.2331,0,Africa/Abidjan
Singapore,,Singapore,1.3,103.8,120,Asia/Manila
Slovakia,,Bratislava,48.1447,17.1128,15,Europe/Paris
Slovenia,,Ljubljana,46.0514,14.5061,15,Europe/Paris
Somalia,,Mogadishu,2.0392,45.3419,45,Europe/Moscow
South Africa,,Bloemfontein,-29.1167,26.2167,30,Africa/Johannesburg
South Africa,,Cape Town,-33.9253,18.4239,30,Africa/Johannesburg
South Africa,,Pretoria,-25.7461,28.1881,30,Africa/Johannesburg
South Korea,,Seoul,37.5667,126.9833,135,Asia/Tokyo
South Sudan,,Juba,4.83,31.58,30,Africa/Johannesburg
Spain,,Madrid,40.4169,-3.7033,15,Europe/Paris
Sri Lanka,,Colombo,6.9167,79.8333,82.5,Asia/Kolkata
Sudan,,Khartoum,15.6031,32.5265,30,Africa/Johannesburg
Suriname,,Paramaribo,5.8522,-55.2039,-45,America/Sao_Paulo
