upakarana,labdhi,phala,gamyantar
4,64,5.2736,-0.3016
4,65,4.972,-0.2978
4,66,4.6742,0.2939
4,67,4.3803,-0.2889
4,68,4.0914,-0.2836
4,69,3.8078,-0.2772
4,70,3.5306,-0.2706
4,71,3.26,-0.2628
4,72,2.9972,-0.255
4,73,2.7422,-0.2458
4,74,2.4964,-0.2367
4,75,2.2597,-0.2266
4,76,2.0331,-0.2159
4,77,1.8172,-0.205
4,78,1.6122,-0.1927
4,79,1.4195,-0.1806
4,80,1.2389,-0.1678
4,81,1.0711,-0.1544
4,82,0.9167,-0.1403
4,83,0.7764,-0.1258
4,84,0.6506,-0.1112
4,85,0.5394,-0.0958
4,86,0.4436,-0.08
4,87,0.3636,-0.0639
4,88,0.2997,-0.0475
4,89,0.2522,-0.0308
4,90,0.2214,-0.0139
4,91,0.2075,0.0033
4,92,0.2108,0.0209
4,93,0.2317,0.0383
4,94,0.27,0.0558
4,95,0.3258,0.0737
4,96,0.3995,0.091
4,97,0.4905,0.1087
4,98,0.5992,0.1263
4,99,0.7255,0.1434
4,100,0.8689,0.1603
4,101,1.0292,0.177
4,102,1.2062,0.193
4,103,1.3992,0.2091
4,104,1.6083,0.2242
4,105,1.8325,0.2411
4,106,2.0736,0.2509
4,107,2.3245,0.2663
4,108,2.5908,0.2789
4,109,2.8687,0.2909
4,110,3.1606,0.3016
4,111,3.4622,0.3117
4,112,3.7739,0.3206
4,113,4.0945,0.3286
4,114,4.4231,0.3352
4,115,4.7583,0.3415
4,116,5.0998,0.3458
4,117,5.4456,0.3494
4,118,5.795,0.3519
4,119,6.1469,0.3531
5,0,0.15,-0.023
5,1,0.127,-0.024
5,2,0.103,-0.02
5,3,0.083,-0.016
5,4,0.067,-0.015
5,5,0.052,-0.009
5,6,0.043,-0.005
5,7,0.038,0
5,8,0.028,0.005
5,9,0.043,0.009
5,10,0.052,0.015
5,11,0.067,0.016
5,12,0.083,0.02
5,13,0.103,0.024
5,14,0.127,0.023
5,15,0.15,0.023
5,16,0.173,0.024
5,17,0.197,0.02
5,18,0.217,0.016
5,19,0.233,0.015
5,20,0.248,0.009
5,21,0.257,0.005
5,22,0.262,0
5,23,0.262,-0.005
5,24,0.257,-0.009
5,25,0.248,-0.015
5,26,0.233,-0.016
5,27,0.217,-0.02
5,28,0.197,-0.024
5,29,0.173,-0.023
5,30,0.15,-0.023
5,31,0.127,-0.024
5,32,0.103,-0.02
5,33,0.083,-0.016
5,34,0.067,-0.015
5,35,0.052,-0.009
5,36,0.043,-0.005
5,37,0.038,0
5,38,0.038,0.005
5,39,0.043,0.009
5,40,0.052,0.015
5,41,0.067,0.016
5,42,0.083,0.02
5,43,0.103,0.024
5,44,0.127,0.023
5,45,0.15,0.023
5,46,0.173,0.024
5,47,0.197,0.02
5,48,0.217,0.016
5,49,0.233,0.015
5,50,0.248,0.009
5,51,0.257,0.005
5,52,0.262,0
5,53,0.262,-0.005
5,54,0.257,-0.009
5,55,0.248,-0.015
5,56,0.233,-0.016
5,57,0.217,-0.02
5,58,0.197,-0.024
5,59,0.173,-0.023
6,0,0.05,0.0211
6,1,0.0711,0.0161
6,2,0.0872,0.0061
6,3,0.0933,-0.0061
6,4,0.0872,-0.0161
6,5,0.0711,-0.0211
6,6,0.05,-0.0211
6,7,0.0289,-0.0161
6,8,0.0128,-0.0061
6,9,0.0067,0.0061
6,10,0.0128,0.0161
6,11,0.0289,0.0211
7,0,0.0583,0.0267
7,1,0.085,0.0211
7,2,0.1061,0.0073
7,3,0.1134,-0.0073
7,4,0.1061,-0.0211
7,5,0.085,-0.0267
7,6,0.0583,-0.0267
7,7,0.0316,-0.021
7,8,0.0106,-0.0073
7,9,0.0033,0.0073
7,10,0.0106,0.021
7,11,0.0316,0.0267
8,0,0.0333,0.0158
8,1,0.0489,0.0111
8,2,0.06,0.005
8,3,0.065,-0.005
8,4,0.06,-0.0119
8,5,0.0471,-0.0148
8,6,0.0333,-0.0155
8,7,0.0178,-0.0111
8,8,0.0067,-0.005
8,9,0.0017,0.005
8,10,0.0067,0.0111
8,11,0.0178,0.0155
9,0,0.025,-0.01
9,1,0.15,-0.0078
9,2,0.0072,-0.0022
9,3,0.005,0.0022
9,4,0.0072,0.0078
9,5,0.015,0.01
9,6,0.025,0.01
9,7,0.035,0.0078
9,8,0.0428,0.0022
9,9,0.045,-0.0022
9,10,0.0428,-0.0078
9,11,0.035,-0.01
10,0,0.025,-0.0111
10,1,0.139,-0.0084
10,2,0.0055,-0.0038
10,3,0.0017,0.0038
10,4,0.0055,0.0084
10,5,0.0139,0.0111
10,6,0.025,0.0111
10,7,0.0361,0.0083
10,8,0.0444,0.0039
10,9,0.0483,-0.0039
10,10,0.0444,-0.0083
10,11,0.0361,-0.0111
11,0,0.025,-0.0111
11,1,0.0139,-0.0084
11,2,0.0055,-0.0038
11,3,0.0017,0.0038
11,4,0.0055,0.0084
11,5,0.0139,0.0111
11,6,0.025,0.0111
11,7,0.0361,0.0083
11,8,0.0444,0.0039
11,9,0.0483,-0.0039
11,10,0.0444,-0.0083
11,11,0.0361,-0.0111
